id;code;position;longueur;type
1;Fantastic Soft Soap Dynamic functionalities;white Maine knowledge user;Response Plain Factors;reboot viral
2;CSS Agent whiteboard;visionary utilize;transition;black
3;Sharable;Unbranded Plastic Salad;Generic;Soft
4;withdrawal Computer Indiana;Cotton;coherent;Wooden
5;Honduras compress Tasty;driver Cedi;Baby Tools reintermediate;Mauritius
6;Missouri;Personal Loan Account synthesizing transmitter;invoice Alaska Cameroon;Texas Gorgeous Steel Shoes
7;Markets groupware;AGP drive clear-thinking;programming;Health
8;Designer scalable mobile;portal orange;functionalities;Handcrafted Rubber Hat Solutions
9;Handmade reinvent heuristic;Configuration Salad;visionary Handmade Implemented;cultivate
10;bandwidth SMTP Orchestrator;Auto Loan Account bluetooth Handmade;olive Markets capacitor;web-enabled Money Market Account
